Client_id,Sex,Birth_Date,District_id
96,Male,1998-05-14,74
97,Female,1998-05-15,26
98,Female,1998-05-16,33
99,Female,1998-05-17,33
100,Male,1998-05-18,44
101,Male,1998-05-19,68
102,Female,1998-05-20,74
103,Male,1998-05-21,74
105,Female,1998-05-22,31
106,Female,1998-05-23,68
107,Male,1998-05-24,1
108,Male,1998-05-25,17
110,Male,1998-05-26,2
112,Male,1998-05-27,1
113,Male,1998-05-28,1
114,Female,1998-05-29,74
115,Female,1998-05-30,74
116,Female,1998-05-31,74
117,Female,1998-06-01,74
118,Male,1998-06-02,55
119,Female,1998-06-03,55
120,Female,1998-06-04,1
121,Male,1998-06-05,41
122,Male,1998-06-06,35
123,Female,1998-06-07,11
124,Male,1998-06-08,44
125,Male,1998-06-09,37
126,Male,1998-06-10,37
127,Male,1998-06-11,21
128,Female,1998-06-12,63
129,Male,1998-06-13,64
130,Female,1998-06-14,53
131,Male,1998-06-15,53
132,Female,1998-06-16,36
134,Female,1998-06-17,6
135,Female,1998-06-18,6
136,Female,1998-06-19,55
137,Female,1998-06-20,60
138,Male,1998-06-21,54
139,Male,1998-06-22,8
140,Female,1998-06-23,8
141,Female,1998-06-24,31
142,Male,1998-06-25,68
143,Male,1998-06-26,27
144,Female,1998-06-27,65
145,Female,1998-06-28,55
146,Male,1998-06-29,31
147,Female,1998-06-30,21
148,Male,1998-07-01,21
149,Male,1998-07-02,55
150,Male,1998-07-03,2
151,Male,1998-07-04,51
152,Female,1998-07-05,29
153,Female,1998-07-06,13
154,Male,1998-07-07,74
155,Male,1998-07-08,74
156,Female,1998-07-09,54
157,Male,1998-07-10,52
158,Male,1998-07-11,40
159,Female,1998-07-12,40
160,Female,1998-07-13,64
161,Male,1998-07-14,34
162,Male,1998-07-15,65
163,Female,1998-07-16,74
164,Female,1998-07-17,70
165,Female,1998-07-18,22
166,Female,1998-07-19,22
167,Female,1998-07-20,38
168,Male,1998-07-21,24
169,Female,1998-07-22,38
170,Female,1998-07-23,38
171,Male,1998-07-24,51
172,Male,1998-07-25,51
173,Female,1998-07-26,21
174,Female,1998-07-27,10
175,Male,1998-07-28,31
176,Male,1998-07-29,4
178,Female,1998-07-30,8
179,Male,1998-07-31,43
180,Male,1998-08-01,73
181,Female,1998-08-02,76
182,Male,1998-08-03,76
183,Male,1998-08-04,1
184,Male,1998-08-05,1
185,Female,1998-08-06,77
186,Female,1998-08-07,46
187,Male,1998-08-08,58
188,Female,1998-08-09,64
189,Female,1998-08-10,11
190,Male,1998-08-11,37
191,Male,1998-08-12,37
192,Female,1998-08-13,70
193,Male,1998-08-14,1
194,Female,1998-08-15,28
195,Female,1998-08-16,74
196,Male,1998-08-17,74
197,Male,1998-08-18,30
198,Female,1998-08-19,60
199,Male,1998-08-20,29
200,Male,1998-08-21,29
201,Male,1998-08-22,17
202,Male,1998-08-23,29
203,Female,1998-08-24,31
204,Male,1998-08-25,31
205,Male,1998-08-26,4
206,Male,1998-08-27,59
207,Female,1998-08-28,46
208,Male,1998-08-29,13
209,Female,1998-08-30,13
210,Female,1998-08-31,66
211,Female,1998-09-01,66
212,Female,1998-09-02,52
215,Female,1998-09-03,71
216,Female,1998-09-04,1
217,Female,1998-09-05,59
218,Male,1998-09-06,1
219,Female,1998-09-07,60
221,Male,1998-09-08,21
222,Male,1998-09-09,47
223,Male,1998-09-10,43
224,Male,1998-09-11,77
225,Female,1998-09-12,32
226,Female,1998-09-13,1
227,Female,1998-09-14,52
228,Female,1998-09-15,48
229,Female,1998-09-16,76
230,Female,1998-09-17,74
231,Female,1998-09-18,41
232,Male,1998-09-19,55
233,Male,1998-09-20,69
234,Male,1998-09-21,69
235,Female,1998-09-22,44
236,Male,1998-09-23,70
237,Female,1998-09-24,70
238,Female,1998-09-25,6
239,Female,1998-09-26,1
240,Male,1998-09-27,34
241,Male,1998-09-28,70
242,Male,1998-09-29,17
243,Female,1998-09-30,63
246,Female,1998-10-01,67
247,Female,1998-10-02,1
248,Female,1998-10-03,61
249,Male,1998-10-04,61
250,Male,1998-10-05,8
251,Male,1998-10-06,54
252,Male,1998-10-07,37
253,Female,1998-10-08,48
254,Female,1998-10-09,28
255,Male,1998-10-10,27
256,Male,1998-10-11,73
257,Female,1998-10-12,22
258,Male,1998-10-13,22
259,Female,1998-10-14,31
260,Female,1998-10-15,31
261,Male,1998-10-16,38
262,Male,1998-10-17,77
263,Female,1998-10-18,68
264,Female,1998-10-19,28
265,Male,1998-10-20,72
266,Female,1998-10-21,19
267,Female,1998-10-22,37
268,Female,1998-10-23,39
269,Male,1998-10-24,15
270,Female,1998-10-25,46
271,Male,1998-10-26,46
272,Male,1998-10-27,70
273,Male,1998-10-28,27
274,Male,1998-10-29,17
275,Female,1998-10-30,1
276,Male,1998-10-31,1
277,Female,1998-11-01,1
278,Male,1998-11-02,22
279,Female,1998-11-03,22
280,Female,1998-11-04,45
282,Female,1998-11-05,73
283,Female,1998-11-06,73
284,Female,1998-11-07,10
285,Male,1998-11-08,72
286,Female,1998-11-09,72
287,Male,1998-11-10,50
288,Male,1998-11-11,6
289,Male,1998-11-12,54
290,Female,1998-11-13,72
291,Male,1998-11-14,72
292,Female,1998-11-15,15
293,Male,1998-11-16,69
294,Male,1998-11-17,58
295,Male,1998-11-18,12
296,Male,1998-11-19,65
297,Male,1998-11-20,65
298,Male,1998-11-21,65
300,Female,1998-11-22,1
301,Female,1998-11-23,28
302,Male,1998-11-24,56
303,Female,1998-11-25,74
304,Male,1998-11-26,19
305,Female,1998-11-27,46
308,Female,1998-11-28,68
309,Female,1998-11-29,37
310,Female,1998-11-30,11
311,Female,1998-12-01,64
312,Male,1998-12-02,2
313,Male,1998-12-03,24
314,Female,1998-12-04,24
315,Male,1998-12-05,54
316,Female,1998-12-06,75
317,Female,1998-12-07,64
318,Female,1998-12-08,15
319,Female,1998-12-09,19
320,Female,1998-12-10,19
321,Female,1998-12-11,47
322,Male,1998-12-12,38
323,Female,1998-12-13,38
324,Male,1998-12-14,3
325,Male,1998-12-15,3
326,Female,1998-12-16,27
327,Male,1998-12-17,27
328,Female,1998-12-18,1
329,Male,1998-12-19,11
330,Male,1998-12-20,65
331,Female,1998-12-21,1
332,Male,1998-12-22,29
333,Male,1998-12-23,38
334,Male,1998-12-24,32
335,Female,1998-12-25,73
336,Male,1998-12-26,39
337,Female,1998-12-27,39
338,Male,1998-12-28,8
339,Female,1998-12-29,1
340,Male,1998-12-30,1
341,Female,1998-12-31,69
342,Female,1999-01-01,69
343,Male,1999-01-02,44
344,Female,1999-01-03,54
345,Male,1999-01-04,17
346,Female,1999-01-05,17
347,Male,1999-01-06,71
348,Female,1999-01-07,71
349,Male,1999-01-08,39
350,Female,1999-01-09,25
351,Male,1999-01-10,1
352,Male,1999-01-11,56
353,Female,1999-01-12,7
354,Male,1999-01-13,49
355,Male,1999-01-14,49
356,Male,1999-01-15,1
357,Female,1999-01-16,1
358,Female,1999-01-17,7
359,Female,1999-01-18,66
360,Male,1999-01-19,49
361,Male,1999-01-20,74
362,Male,1999-01-21,35
363,Male,1999-01-22,35
364,Male,1999-01-23,54
365,Male,1999-01-24,1
366,Female,1999-01-25,1
367,Male,1999-01-26,60
368,Female,1999-01-27,60
369,Female,1999-01-28,7
370,Male,1999-01-29,71
371,Female,1999-01-30,4
372,Male,1999-01-31,34
373,Female,1999-02-01,16
374,Female,1999-02-02,26
375,Male,1999-02-03,61
376,Female,1999-02-04,14
378,Male,1999-02-05,50
379,Male,1999-02-06,50
380,Male,1999-02-07,41
381,Female,1999-02-08,73
382,Female,1999-02-09,73
383,Male,1999-02-10,15
384,Female,1999-02-11,15
385,Female,1999-02-12,45
386,Male,1999-02-13,62
387,Female,1999-02-14,76
388,Female,1999-02-15,36
389,Female,1999-02-16,47
390,Male,1999-02-17,47
391,Female,1999-02-18,47
392,Male,1999-02-19,74
393,Male,1999-02-20,74
394,Female,1999-02-21,52
395,Male,1999-02-22,52
396,Female,1999-02-23,1
397,Male,1999-02-24,75
398,Female,1999-02-25,61
399,Female,1999-02-26,45
400,Male,1999-02-27,1
401,Male,1999-02-28,1
402,Male,1999-03-01,3
403,Female,1999-03-02,42
404,Female,1999-03-03,42
405,Male,1999-03-04,65
406,Male,1999-03-05,36
407,Male,1999-03-06,73
408,Female,1999-03-07,35
409,Female,1999-03-08,74
410,Female,1999-03-09,62
411,Female,1999-03-10,17
412,Male,1999-03-11,17
413,Female,1999-03-12,49
414,Male,1999-03-13,46
415,Male,1999-03-14,46
416,Male,1999-03-15,1
417,Female,1999-03-16,1
418,Male,1999-03-17,28
419,Male,1999-03-18,64
420,Male,1999-03-19,18
421,Male,1999-03-20,54
422,Male,1999-03-21,69
423,Male,1999-03-22,37
424,Female,1999-03-23,1
425,Female,1999-03-24,25
426,Male,1999-03-25,72
427,Female,1999-03-26,72
428,Female,1999-03-27,47
429,Female,1999-03-28,50
430,Female,1999-03-29,39
431,Male,1999-03-30,24
432,Female,1999-03-31,59
433,Male,1999-04-01,62
434,Female,1999-04-02,70
435,Male,1999-04-03,20
436,Male,1999-04-04,2
437,Male,1999-04-05,11
438,Female,1999-04-06,32
439,Female,1999-04-07,51
440,Male,1999-04-08,15
441,Female,1999-04-09,1
442,Female,1999-04-10,1
443,Female,1999-04-11,1
444,Male,1999-04-12,74
445,Male,1999-04-13,1
446,Male,1999-04-14,1
447,Female,1999-04-15,23
448,Male,1999-04-16,77
450,Male,1999-04-17,25
451,Female,1999-04-18,12
452,Female,1999-04-19,55
453,Female,1999-04-20,67
454,Male,1999-04-21,38
455,Female,1999-04-22,68
456,Female,1999-04-23,25
457,Female,1999-04-24,70
458,Female,1999-04-25,68
459,Male,1999-04-26,32
461,Male,1999-04-27,68
462,Male,1999-04-28,14
463,Male,1999-04-29,38
464,Female,1999-04-30,24
465,Male,1999-05-01,5
466,Male,1999-05-02,1
467,Male,1999-05-03,1
468,Male,1999-05-04,72
469,Male,1999-05-05,59
470,Male,1999-05-06,30
471,Male,1999-05-07,44
472,Male,1999-05-08,36
473,Male,1999-05-09,1
474,Male,1999-05-10,46
476,Male,1999-05-11,1
477,Female,1999-05-12,1
478,Male,1999-05-13,21
479,Female,1999-05-14,11
480,Female,1999-05-15,11
481,Female,1999-05-16,69
482,Female,1999-05-17,69
483,Male,1999-05-18,1
484,Male,1999-05-19,28
485,Female,1999-05-20,32
486,Female,1999-05-21,68
487,Male,1999-05-22,1
488,Female,1999-05-23,1
489,Male,1999-05-24,41
490,Male,1999-05-25,55
491,Male,1999-05-26,63
492,Female,1999-05-27,72
493,Female,1999-05-28,41
494,Male,1999-05-29,1
495,Male,1999-05-30,49
496,Male,1999-05-31,70
497,Female,1999-06-01,74
498,Male,1999-06-02,74
499,Female,1999-06-03,18
500,Female,1999-06-04,1
501,Female,1999-06-05,62
502,Female,1999-06-06,6
503,Female,1999-06-07,73
504,Male,1999-06-08,36
505,Male,1999-06-09,13
506,Female,1999-06-10,75
507,Female,1999-06-11,75
508,Female,1999-06-12,53
509,Female,1999-06-13,73
510,Male,1999-06-14,12
511,Female,1999-06-15,9
512,Male,1999-06-16,60
513,Male,1999-06-17,8
514,Male,1999-06-18,8
515,Female,1999-06-19,1
516,Male,1999-06-20,1
517,Male,1999-06-21,63
518,Female,1999-06-22,54
519,Male,1999-06-23,18
520,Male,1999-06-24,46
521,Male,1999-06-25,69
522,Female,1999-06-26,1
523,Male,1999-06-27,38
524,Female,1999-06-28,30
525,Female,1999-06-29,30
526,Male,1999-06-30,43
527,Female,1999-07-01,43
528,Male,1999-07-02,37
529,Male,1999-07-03,69
530,Male,1999-07-04,29
531,Female,1999-07-05,27
532,Male,1999-07-06,27
533,Male,1999-07-07,54
534,Female,1999-07-08,74
535,Male,1999-07-09,26
536,Male,1999-07-10,47
537,Female,1999-07-11,1
538,Female,1999-07-12,5
540,Female,1999-07-13,19
541,Male,1999-07-14,19
542,Male,1999-07-15,59
543,Male,1999-07-16,11
544,Female,1999-07-17,63
545,Male,1999-07-18,75
546,Male,1999-07-19,7
547,Male,1999-07-20,54
548,Female,1999-07-21,49
550,Female,1999-07-22,7
551,Male,1999-07-23,47
552,Female,1999-07-24,1
553,Male,1999-07-25,1
554,Male,1999-07-26,30
555,Male,1999-07-27,30
556,Female,1999-07-28,29
557,Male,1999-07-29,51
558,Male,1999-07-30,43
559,Male,1999-07-31,32
560,Female,1999-08-01,71
561,Female,1999-08-02,74
562,Female,1999-08-03,49
563,Male,1999-08-04,72
564,Female,1999-08-05,72
565,Male,1999-08-06,64
566,Male,1999-08-07,47
567,Female,1999-08-08,47
568,Male,1999-08-09,8
569,Male,1999-08-10,73
570,Male,1999-08-11,61
571,Male,1999-08-12,3
572,Female,1999-08-13,3
573,Female,1999-08-14,69
574,Male,1999-08-15,1
575,Female,1999-08-16,58
576,Female,1999-08-17,58
577,Male,1999-08-18,1
578,Male,1999-08-19,23
579,Male,1999-08-20,72
581,Female,1999-08-21,70
582,Female,1999-08-22,1
583,Male,1999-08-23,75
584,Male,1999-08-24,33
585,Male,1999-08-25,40
586,Male,1999-08-26,40
587,Female,1999-08-27,25
588,Female,1999-08-28,61
589,Male,1999-08-29,45
590,Male,1999-08-30,44
591,Male,1999-08-31,65
592,Female,1999-09-01,26
593,Female,1999-09-02,60
596,Female,1999-09-03,69
597,Female,1999-09-04,55
598,Male,1999-09-05,1
599,Female,1999-09-06,1
601,Female,1999-09-07,56
602,Female,1999-09-08,56
603,Male,1999-09-09,13
604,Male,1999-09-10,1
605,Male,1999-09-11,1
606,Male,1999-09-12,10
607,Female,1999-09-13,64
608,Male,1999-09-14,67
609,Female,1999-09-15,52
610,Female,1999-09-16,74
611,Male,1999-09-17,36
612,Female,1999-09-18,36
613,Female,1999-09-19,1
614,Male,1999-09-20,14
615,Male,1999-09-21,68
616,Male,1999-09-22,58
617,Female,1999-09-23,70
618,Female,1999-09-24,57
619,Male,1999-09-25,6
620,Male,1999-09-26,6
621,Male,1999-09-27,54
622,Male,1999-09-28,74
623,Female,1999-09-29,24
624,Female,1999-09-30,24
625,Female,1999-10-01,60
626,Male,1999-10-02,9
627,Male,1999-10-03,17
628,Male,1999-10-04,17
629,Female,1999-10-05,16
630,Male,1999-10-06,61
631,Female,1999-10-07,70
632,Female,1999-10-08,67
633,Female,1999-10-09,67
635,Male,1999-10-10,17
636,Male,1999-10-11,17
637,Male,1999-10-12,39
638,Male,1999-10-13,54
639,Female,1999-10-14,31
640,Male,1999-10-15,26
641,Female,1999-10-16,40
642,Male,1999-10-17,40
643,Male,1999-10-18,1
644,Male,1999-10-19,35
645,Male,1999-10-20,14
646,Male,1999-10-21,34
647,Female,1999-10-22,34
648,Female,1999-10-23,70
649,Female,1999-10-24,13
651,Male,1999-10-25,54
652,Female,1999-10-26,61
653,Male,1999-10-27,1
654,Male,1999-10-28,64
655,Female,1999-10-29,32
656,Female,1999-10-30,1
657,Female,1999-10-31,8
658,Male,1999-11-01,8
659,Male,1999-11-02,24
660,Female,1999-11-03,16
661,Male,1999-11-04,16
662,Male,1999-11-05,5
663,Female,1999-11-06,24
664,Male,1999-11-07,77
665,Male,1999-11-08,62
666,Male,1999-11-09,26
667,Female,1999-11-10,26
668,Male,1999-11-11,1
669,Male,1999-11-12,12
670,Male,1999-11-13,1
671,Male,1999-11-14,10
672,Male,1999-11-15,46
673,Male,1999-11-16,36
674,Male,1999-11-17,11
675,Female,1999-11-18,50
676,Male,1999-11-19,70
677,Female,1999-11-20,5
678,Female,1999-11-21,39
679,Male,1999-11-22,8
680,Male,1999-11-23,8
681,Male,1999-11-24,15
682,Male,1999-11-25,18
683,Male,1999-11-26,76
684,Female,1999-11-27,3
685,Male,1999-11-28,72
686,Male,1999-11-29,32
687,Female,1999-11-30,32
688,Female,1999-12-01,1
689,Female,1999-12-02,70
690,Male,1999-12-03,38
691,Male,1999-12-04,38
692,Male,1999-12-05,74
693,Male,1999-12-06,74
694,Female,1999-12-07,29
695,Male,1999-12-08,28
696,Male,1999-12-09,28
697,Male,1999-12-10,1
698,Male,1999-12-11,75
699,Female,1999-12-12,26
700,Female,1999-12-13,12
702,Male,1999-12-14,31
703,Female,1999-12-15,4
704,Male,1999-12-16,54
705,Female,1999-12-17,19
706,Male,1999-12-18,1
707,Female,1999-12-19,1
708,Male,1999-12-20,50
709,Male,1999-12-21,1
710,Female,1999-12-22,23
711,Female,1999-12-23,48
712,Female,1999-12-24,54
713,Male,1999-12-25,20
714,Female,1999-12-26,31
715,Male,1999-12-27,1
716,Female,1999-12-28,1
717,Female,1999-12-29,54
718,Female,1999-12-30,54
719,Male,1999-12-31,46
720,Female,2000-01-01,29
721,Male,2000-01-02,43
722,Male,2000-01-03,62
723,Female,2000-01-04,12
724,Female,2000-01-05,65
725,Male,2000-01-06,75
726,Male,2000-01-07,16
727,Female,2000-01-08,32
728,Female,2000-01-09,32
729,Male,2000-01-10,63
730,Female,2000-01-11,63
731,Female,2000-01-12,74
732,Male,2000-01-13,74
733,Female,2000-01-14,46
734,Female,2000-01-15,46
735,Female,2000-01-16,1
736,Female,2000-01-17,1
737,Female,2000-01-18,74
738,Female,2000-01-19,25
739,Female,2000-01-20,72
740,Male,2000-01-21,55
741,Male,2000-01-22,74
742,Male,2000-01-23,1
743,Male,2000-01-24,1
744,Female,2000-01-25,26
745,Female,2000-01-26,52
746,Female,2000-01-27,52
747,Female,2000-01-28,24
748,Male,2000-01-29,25
749,Male,2000-01-30,25
750,Male,2000-01-31,70
751,Male,2000-02-01,70
752,Female,2000-02-02,72
753,Female,2000-02-03,72
754,Female,2000-02-04,63
755,Male,2000-02-05,72
756,Male,2000-02-06,31
757,Female,2000-02-07,71
758,Female,2000-02-08,68
759,Female,2000-02-09,29
760,Male,2000-02-10,57
762,Female,2000-02-11,21
763,Female,2000-02-12,75
764,Male,2000-02-13,49
765,Male,2000-02-14,65
766,Male,2000-02-15,1
767,Female,2000-02-16,1
768,Male,2000-02-17,32
769,Male,2000-02-18,40
772,Female,2000-02-19,64
773,Female,2000-02-20,4
774,Male,2000-02-21,70
775,Female,2000-02-22,51
776,Male,2000-02-23,1
777,Female,2000-02-24,1
778,Female,2000-02-25,13
779,Female,2000-02-26,69
780,Female,2000-02-27,3
781,Female,2000-02-28,72
782,Female,2000-02-29,5
783,Male,2000-03-01,27
784,Female,2000-03-02,27
785,Male,2000-03-03,63
786,Female,2000-03-04,53
787,Female,2000-03-05,3
788,Male,2000-03-06,47
789,Male,2000-03-07,4
790,Male,2000-03-08,63
791,Male,2000-03-09,68
793,Female,2000-03-10,21
794,Female,2000-03-11,21
796,Female,2000-03-12,1
797,Male,2000-03-13,8
798,Female,2000-03-14,27
799,Male,2000-03-15,27
803,Male,2000-03-16,35
804,Male,2000-03-17,35
806,Female,2000-03-18,60
807,Male,2000-03-19,53
808,Female,2000-03-20,31
809,Male,2000-03-21,49
810,Female,2000-03-22,58
811,Female,2000-03-23,58
812,Female,2000-03-24,39
813,Male,2000-03-25,70
814,Male,2000-03-26,19
815,Male,2000-03-27,22
816,Male,2000-03-28,17
818,Male,2000-03-29,54
819,Female,2000-03-30,74
820,Female,2000-03-31,74
821,Female,2000-04-01,49
822,Female,2000-04-02,37
823,Female,2000-04-03,41
824,Male,2000-04-04,27
825,Female,2000-04-05,74
826,Male,2000-04-06,1
827,Female,2000-04-07,10
828,Female,2000-04-08,10
829,Male,2000-04-09,24
830,Male,2000-04-10,69
831,Female,2000-04-11,2
832,Male,2000-04-12,67
833,Male,2000-04-13,5
834,Male,2000-04-14,54
835,Female,2000-04-15,28
836,Female,2000-04-16,28
837,Female,2000-04-17,71
838,Female,2000-04-18,71
839,Female,2000-04-19,47
840,Female,2000-04-20,20
841,Female,2000-04-21,69
842,Male,2000-04-22,12
843,Male,2000-04-23,54
844,Female,2000-04-24,22
845,Female,2000-04-25,22
846,Male,2000-04-26,35
847,Male,2000-04-27,49
849,Female,2000-04-28,26
850,Male,2000-04-29,19
851,Female,2000-04-30,25
852,Female,2000-05-01,25
853,Female,2000-05-02,70
854,Female,2000-05-03,72
855,Female,2000-05-04,58
856,Female,2000-05-05,23
857,Male,2000-05-06,32
858,Male,2000-05-07,47
859,Male,2000-05-08,1
860,Female,2000-05-09,1
861,Male,2000-05-10,1
862,Male,2000-05-11,30
863,Male,2000-05-12,54
864,Male,2000-05-13,11
865,Male,2000-05-14,11
866,Female,2000-05-15,38
870,Female,2000-05-16,70
871,Male,2000-05-17,76
872,Female,2000-05-18,35
873,Male,2000-05-19,60
874,Male,2000-05-20,14
875,Male,2000-05-21,14
876,Male,2000-05-22,1
877,Male,2000-05-23,5
878,Male,2000-05-24,5
879,Female,2000-05-25,38
880,Male,2000-05-26,49
881,Female,2000-05-27,5
882,Male,2000-05-28,70
883,Female,2000-05-29,75
884,Female,2000-05-30,75
885,Female,2000-05-31,34
886,Female,2000-06-01,34
887,Female,2000-06-02,66
888,Female,2000-06-03,28
889,Female,2000-06-04,54
890,Female,2000-06-05,77
891,Male,2000-06-06,33
892,Female,2000-06-07,42
893,Male,2000-06-08,43
894,Female,2000-06-09,75
895,Male,2000-06-10,39
896,Female,2000-06-11,36
897,Male,2000-06-12,36
898,Male,2000-06-13,38
899,Male,2000-06-14,38
900,Female,2000-06-15,73
901,Male,2000-06-16,39
902,Male,2000-06-17,23
903,Female,2000-06-18,31
904,Female,2000-06-19,1
905,Male,2000-06-20,38
906,Female,2000-06-21,65
907,Male,2000-06-22,51
908,Male,2000-06-23,51
909,Male,2000-06-24,23
910,Male,2000-06-25,1
911,Female,2000-06-26,43
912,Male,2000-06-27,76
913,Female,2000-06-28,1
914,Male,2000-06-29,1
915,Male,2000-06-30,12
916,Male,2000-07-01,3
917,Female,2000-07-02,25
918,Male,2000-07-03,26
921,Male,2000-07-04,7
922,Female,2000-07-05,22
923,Female,2000-07-06,22
924,Female,2000-07-07,1
925,Male,2000-07-08,54
926,Female,2000-07-09,1
927,Female,2000-07-10,1
928,Female,2000-07-11,66
929,Male,2000-07-12,30
930,Male,2000-07-13,68
931,Male,2000-07-14,16
932,Male,2000-07-15,3
933,Male,2000-07-16,33
934,Male,2000-07-17,33
935,Male,2000-07-18,42
936,Female,2000-07-19,42
937,Female,2000-07-20,1
938,Male,2000-07-21,59
939,Male,2000-07-22,21
940,Male,2000-07-23,53
941,Male,2000-07-24,10
942,Female,2000-07-25,12
943,Female,2000-07-26,12
944,Female,2000-07-27,39
945,Female,2000-07-28,39
946,Female,2000-07-29,54
948,Female,2000-07-30,49
949,Male,2000-07-31,3
950,Female,2000-08-01,76
951,Male,2000-08-02,76
952,Male,2000-08-03,63
953,Male,2000-08-04,25
954,Female,2000-08-05,1
955,Female,2000-08-06,57
956,Male,2000-08-07,1
957,Male,2000-08-08,56
958,Female,2000-08-09,56
959,Female,2000-08-10,11
960,Male,2000-08-11,16
961,Female,2000-08-12,15
962,Male,2000-08-13,19
963,Male,2000-08-14,64
964,Male,2000-08-15,10
965,Male,2000-08-16,13
966,Female,2000-08-17,13
967,Female,2000-08-18,76
968,Male,2000-08-19,69
970,Male,2000-08-20,36
971,Male,2000-08-21,46
972,Female,2000-08-22,46
973,Female,2000-08-23,14
974,Female,2000-08-24,14
975,Female,2000-08-25,1
976,Male,2000-08-26,16
977,Female,2000-08-27,76
978,Male,2000-08-28,56
979,Female,2000-08-29,56
980,Female,2000-08-30,40
981,Female,2000-08-31,5
984,Male,2000-09-01,20
985,Male,2000-09-02,20
986,Female,2000-09-03,74
987,Female,2000-09-04,60
988,Male,2000-09-05,40
989,Male,2000-09-06,40
990,Female,2000-09-07,71
991,Male,2000-09-08,32
992,Male,2000-09-09,19
993,Male,2000-09-10,44
994,Male,2000-09-11,36
995,Female,2000-09-12,36
996,Female,2000-09-13,1
997,Male,2000-09-14,59
998,Female,2000-09-15,59
999,Male,2000-09-16,74
1000,Male,2000-09-17,74
1001,Female,2000-09-18,44
1002,Female,2000-09-19,42
1003,Male,2000-09-20,31
1004,Male,2000-09-21,3
1006,Female,2000-09-22,46
1007,Male,2000-09-23,46
1008,Female,2000-09-24,6
1009,Male,2000-09-25,33
1010,Female,2000-09-26,33
1011,Male,2000-09-27,16
1012,Male,2000-09-28,70
1013,Female,2000-09-29,70
1014,Female,2000-09-30,1
1015,Male,2000-10-01,62
1016,Male,2000-10-02,62
1017,Female,2000-10-03,6
1018,Female,2000-10-04,53
1019,Female,2000-10-05,14
1020,Female,2000-10-06,72
1021,Male,2000-10-07,2
1022,Male,2000-10-08,31
1023,Female,2000-10-09,1
1024,Male,2000-10-10,25
1025,Female,2000-10-11,15
1026,Female,2000-10-12,57
1027,Female,2000-10-13,1
1028,Female,2000-10-14,1
1029,Female,2000-10-15,1
1030,Male,2000-10-16,1
1031,Male,2000-10-17,2
1032,Female,2000-10-18,1
1033,Female,2000-10-19,1
1034,Male,2000-10-20,52
1035,Female,2000-10-21,13
1036,Female,2000-10-22,13
1037,Male,2000-10-23,1
1038,Male,2000-10-24,69
1039,Male,2000-10-25,70
1040,Male,2000-10-26,1
1041,Male,2000-10-27,72
1042,Male,2000-10-28,17
1043,Female,2000-10-29,17
1044,Male,2000-10-30,9
1045,Female,2000-10-31,60
1046,Female,2000-11-01,1
